id,Drug name,ic50,Drug Bank,ND Related Drug
P43140,DB00457,0.254,not exist,No
Q05769,DB12354,0.18,not exist,No
Q9NY91,DB11827,0.877,not exist,No
P00915,DB00819,0.9957,exist,No
Q05769,DB00482,0.51,not exist,No
P22437,DB00482,0.7,not exist,No
P35355,DB00482,0.071,not exist,No
P43140,DB01242,0.04,not exist,No
P43140,DB01151,0.25,not exist,No
P30875,DB09099,0.28,not exist,No
